"","fyear","type","measure","models","modelled_growth","baseline","deflator"
"140",2027,"elective","cost","changing",121.934916,10363552520,1.87290800966897
"141",2027,"elective","cost","log",112.3986795,10363552520,1.87290800966897
"142",2027,"emergency","cost","constant",120.4321826,16735761400,1.87290800966897
"143",2027,"emergency","cost","changing",152.1579111,16735761400,1.87290800966897
"144",2027,"emergency","cost","log",125.844645,16735761400,1.87290800966897
"145",2027,"gp","cost","constant",112.8808173,10540893671,1.87290800966897
"146",2027,"gp","cost","changing",90.02786771,10540893671,1.87290800966897
"147",2027,"gp","cost","log",105.4711827,10540893671,1.87290800966897
"148",2027,"op","cost","constant",117.15676,14139756885,1.87290800966897
"149",2027,"op","cost","changing",158.886877,14139756885,1.87290800966897
"150",2027,"op","cost","log",121.8467194,14139756885,1.87290800966897
"151",2028,"ae","cost","constant",109.2103547,3511161918,1.9327437807694
"152",2028,"ae","cost","changing",168.6150602,3511161918,1.9327437807694
"153",2028,"ae","cost","log",122.8473014,3511161918,1.9327437807694
"154",2028,"elective","cost","constant",122.4802983,10363552520,1.9327437807694
"155",2028,"elective","cost","changing",124.1846605,10363552520,1.9327437807694
"156",2028,"elective","cost","log",113.437826,10363552520,1.9327437807694
"157",2028,"emergency","cost","constant",122.9691779,16735761400,1.9327437807694
"158",2028,"emergency","cost","changing",159.4297119,16735761400,1.9327437807694
"159",2028,"emergency","cost","log",128.9613867,16735761400,1.9327437807694
"160",2028,"gp","cost","constant",114.3222954,10540893671,1.9327437807694
"161",2028,"gp","cost","changing",88.93679696,10540893671,1.9327437807694
"162",2028,"gp","cost","log",106.1977857,10540893671,1.9327437807694
"163",2028,"op","cost","constant",118.9838871,14139756885,1.9327437807694
"164",2028,"op","cost","changing",166.9618853,14139756885,1.9327437807694
"165",2028,"op","cost","log",123.9358565,14139756885,1.9327437807694
"166",2029,"ae","cost","constant",110.1752519,3511161918,2.3
"167",2029,"ae","cost","changing",177.7118052,3511161918,2.3
"168",2029,"ae","cost","log",124.9371756,3511161918,2.3
"169",2029,"elective","cost","constant",124.4638283,10363552520,2.3
"170",2029,"elective","cost","changing",126.4882156,10363552520,2.3
"171",2029,"elective","cost","log",114.5201539,10363552520,2.3
"172",2029,"emergency","cost","constant",125.2761508,16735761400,2.3
"173",2029,"emergency","cost","changing",166.6841581,16735761400,2.3
"174",2029,"emergency","cost","log",131.8408464,16735761400,2.3
"175",2029,"gp","cost","constant",115.7271113,10540893671,2.3
"176",2029,"gp","cost","changing",87.81353205,10540893671,2.3
"177",2029,"gp","cost","log",106.8949934,10540893671,2.3
"178",2029,"op","cost","constant",120.7581395,14139756885,2.3
"179",2029,"op","cost","changing",175.416021,14139756885,2.3
"180",2029,"op","cost","log",125.9910304,14139756885,2.3
"181",2030,"ae","cost","constant",111.1580177,3511161918,2.3
"182",2030,"ae","cost","changing",187.3341642,3511161918,2.3
"183",2030,"ae","cost","log",127.0295298,3511161918,2.3
"184",2030,"elective","cost","constant",126.5693733,10363552520,2.3
"185",2030,"elective","cost","changing",128.9577099,10363552520,2.3
"186",2030,"elective","cost","log",115.6724518,10363552520,2.3
"187",2030,"emergency","cost","constant",127.7895047,16735761400,2.3
"188",2030,"emergency","cost","changing",174.5159644,16735761400,2.3
"189",2030,"emergency","cost","log",134.8132712,16735761400,2.3
"190",2030,"gp","cost","constant",117.1774011,10540893671,2.3
"191",2030,"gp","cost","changing",86.71476462,10540893671,2.3
"192",2030,"gp","cost","log",107.6265175,10540893671,2.3
"193",2030,"op","cost","constant",122.6995824,14139756885,2.3
"194",2030,"op","cost","changing",184.3789512,14139756885,2.3
"195",2030,"op","cost","log",128.0940666,14139756885,2.3
"196",2031,"ae","cost","constant",112.2171571,3511161918,2.3
"197",2031,"ae","cost","changing",197.5992091,3511161918,2.3
"198",2031,"ae","cost","log",129.1807286,3511161918,2.3
"199",2031,"elective","cost","constant",129.1483378,10363552520,2.3
"200",2031,"elective","cost","changing",131.4979608,10363552520,2.3
"201",2031,"elective","cost","log",116.8638061,10363552520,2.3
"202",2031,"emergency","cost","constant",130.8723557,16735761400,2.3
"203",2031,"emergency","cost","changing",183.3911405,16735761400,2.3
"204",2031,"emergency","cost","log",138.1709081,16735761400,2.3
"205",2031,"gp","cost","constant",118.7381719,10540893671,2.3
"206",2031,"gp","cost","changing",85.65416361,10540893671,2.3
"207",2031,"gp","cost","log",108.4095257,10540893671,2.3
"208",2031,"op","cost","constant",124.784366,14139756885,2.3
"209",2031,"op","cost","changing",193.8100385,14139756885,2.3
"210",2031,"op","cost","log",130.200615,14139756885,2.3
"211",2032,"ae","cost","constant",113.1033118,3511161918,2.3
"212",2032,"ae","cost","changing",208.1141979,3511161918,2.3
"213",2032,"ae","cost","log",131.1262414,3511161918,2.3
"214",2032,"elective","cost","constant",131.2442767,10363552520,2.3
"215",2032,"elective","cost","changing",133.9624076,10363552520,2.3
"216",2032,"elective","cost","log",117.9634841,10363552520,2.3
"217",2032,"emergency","cost","constant",133.3275705,16735761400,2.3
"218",2032,"emergency","cost","changing",191.7414934,16735761400,2.3
"219",2032,"emergency","cost","log",141.211096,16735761400,2.3
"220",2032,"gp","cost","constant",120.1370933,10540893671,2.3
"221",2032,"gp","cost","changing",84.50655932,10540893671,2.3
"222",2032,"gp","cost","log",109.0837787,10540893671,2.3
"223",2032,"op","cost","constant",126.6150314,14139756885,2.3
"224",2032,"op","cost","changing",203.5123714,14139756885,2.3
"225",2032,"op","cost","log",132.167719,14139756885,2.3
"226",2033,"ae","cost","constant",113.9131654,3511161918,2.3
"227",2033,"ae","cost","changing",219.043604,3511161918,2.3
"228",2033,"ae","cost","log",132.9665363,3511161918,2.3
"229",2033,"elective","cost","constant",132.9076627,10363552520,2.3
"230",2033,"elective","cost","changing",136.302116,10363552520,2.3
"231",2033,"elective","cost","log",118.9604642,10363552520,2.3
"232",2033,"emergency","cost","constant",135.6176047,16735761400,2.3
"233",2033,"emergency","cost","changing",200.1528296,16735761400,2.3
"234",2033,"emergency","cost","log",143.9897738,16735761400,2.3
"235",2033,"gp","cost","constant",121.423724,10540893671,2.3
"236",2033,"gp","cost","changing",83.30767618,10540893671,2.3
"237",2033,"gp","cost","log",109.6882035,10540893671,2.3
"238",2033,"op","cost","constant",128.1972743,14139756885,2.3
"239",2033,"op","cost","changing",213.4916003,14139756885,2.3
"240",2033,"op","cost","log",133.998715,14139756885,2.3
"241",2034,"ae","cost","constant",114.7234811,3511161918,2.3
"242",2034,"ae","cost","changing",230.5580268,3511161918,2.3
"243",2034,"ae","cost","log",134.7946701,3511161918,2.3
"244",2034,"elective","cost","constant",134.767368,10363552520,2.3
"245",2034,"elective","cost","changing",138.7137123,10363552520,2.3
"246",2034,"elective","cost","log",119.9301454,10363552520,2.3
"247",2034,"emergency","cost","constant",137.9169419,16735761400,2.3
"248",2034,"emergency","cost","changing",208.8959157,16735761400,2.3
"249",2034,"emergency","cost","log",146.5928124,16735761400,2.3
"250",2034,"gp","cost","constant",122.6681783,10540893671,2.3
"251",2034,"gp","cost","changing",82.09645245,10540893671,2.3
"252",2034,"gp","cost","log",110.2707076,10540893671,2.3
"253",2034,"op","cost","constant",129.8541446,14139756885,2.3
"254",2034,"op","cost","changing",223.988484,14139756885,2.3
"255",2034,"op","cost","log",135.8412698,14139756885,2.3
"256",2035,"ae","cost","constant",115.5000328,3511161918,2.3
"257",2035,"ae","cost","changing",242.6256841,3511161918,2.3
"258",2035,"ae","cost","log",136.5789979,3511161918,2.3
"259",2035,"elective","cost","constant",136.7416708,10363552520,2.3
"260",2035,"elective","cost","changing",141.139468,10363552520,2.3
"261",2035,"elective","cost","log",120.9131141,10363552520,2.3
"262",2035,"emergency","cost","constant",139.9226297,16735761400,2.3
"263",2035,"emergency","cost","changing",217.5833129,16735761400,2.3
"264",2035,"emergency","cost","log",149.330678,16735761400,2.3
"265",2035,"gp","cost","constant",123.9403339,10540893671,2.3
"266",2035,"gp","cost","changing",80.91342268,10540893671,2.3
"267",2035,"gp","cost","log",110.8832827,10540893671,2.3
"268",2035,"op","cost","constant",131.5274252,14139756885,2.3
"269",2035,"op","cost","changing",234.9867784,14139756885,2.3
"270",2035,"op","cost","log",137.6709724,14139756885,2.3
"271",2018,"ae","activity","constant",100,24826982,2.10944864985953
"272",2018,"ae","activity","changing",100,24826982,2.10944864985953
"273",2018,"ae","activity","log",100,24826982,2.10944864985953
"274",2018,"elective","activity","constant",100,20760699,2.10944864985953
"275",2018,"elective","activity","changing",100,20760699,2.10944864985953
"276",2018,"elective","activity","log",100,20760699,2.10944864985953
"277",2018,"emergency","activity","constant",100,6437959,2.10944864985953
"278",2018,"emergency","activity","changing",100,6437959,2.10944864985953
"279",2018,"emergency","activity","log",100,6437959,2.10944864985953
"280",2018,"gp","activity","constant",100,275710483,2.10944864985953
"281",2018,"gp","activity","changing",100,275710483,2.10944864985953
"282",2018,"gp","activity","log",100,275710483,2.10944864985953
"283",2018,"op","activity","constant",100,96420114,2.10944864985953
"284",2018,"op","activity","changing",100,96420114,2.10944864985953
"285",2018,"op","activity","log",100,96420114,2.10944864985953
"286",2019,"ae","activity","constant",100.8,24826982,2.36101081382487
"287",2019,"ae","activity","changing",104.3634906,24826982,2.36101081382487
"288",2019,"ae","activity","log",102.0651337,24826982,2.36101081382487
"289",2019,"elective","activity","constant",101.58,20760699,2.36101081382487
"290",2019,"elective","activity","changing",101.9288933,20760699,2.36101081382487
"291",2019,"elective","activity","log",101.5132189,20760699,2.36101081382487
"292",2019,"emergency","activity","constant",101.6,6437959,2.36101081382487
"293",2019,"emergency","activity","changing",101.5891815,6437959,2.36101081382487
"294",2019,"emergency","activity","log",101.3994361,6437959,2.36101081382487
"295",2019,"gp","activity","constant",101.43,275710483,2.36101081382487
"296",2019,"gp","activity","changing",108.094181,275710483,2.36101081382487
"297",2019,"gp","activity","log",100.6383269,275710483,2.36101081382487
"298",2019,"op","activity","constant",101.65,96420114,2.36101081382487
"299",2019,"op","activity","changing",105.3940266,96420114,2.36101081382487
"300",2019,"op","activity","log",102.7395599,96420114,2.36101081382487
"301",2020,"ae","activity","constant",101.38,24826982,5.44550974003141
"302",2020,"ae","activity","changing",108.6089974,24826982,5.44550974003141
"303",2020,"ae","activity","log",103.7485746,24826982,5.44550974003141
"304",2020,"elective","activity","constant",103.09,20760699,5.44550974003141
"305",2020,"elective","activity","changing",103.7926339,20760699,5.44550974003141
"306",2020,"elective","activity","log",102.9215983,20760699,5.44550974003141
"307",2020,"emergency","activity","constant",103.62,6437959,5.44550974003141
"308",2020,"emergency","activity","changing",103.0158917,6437959,5.44550974003141
"309",2020,"emergency","activity","log",102.641058,6437959,5.44550974003141
"310",2020,"gp","activity","constant",102.52,275710483,5.44550974003141
"311",2020,"gp","activity","changing",116.4647038,275710483,5.44550974003141
"312",2020,"gp","activity","log",100.9854057,275710483,5.44550974003141
"313",2020,"op","activity","constant",103.13,96420114,5.44550974003141
"314",2020,"op","activity","changing",110.8238989,96420114,5.44550974003141
"315",2020,"op","activity","log",105.1639411,96420114,5.44550974003141
"316",2021,"ae","activity","constant",102.36,24826982,-0.819269506744494
"317",2021,"ae","activity","changing",113.4965241,24826982,-0.819269506744494
"318",2021,"ae","activity","log",105.7882468,24826982,-0.819269506744494
"319",2021,"elective","activity","constant",105.86,20760699,-0.819269506744494
"320",2021,"elective","activity","changing",106.7682021,20760699,-0.819269506744494
"321",2021,"elective","activity","log",105.3924837,20760699,-0.819269506744494
"322",2021,"emergency","activity","constant",105.97,6437959,-0.819269506744494
"323",2021,"emergency","activity","changing",104.9812131,6437959,-0.819269506744494
"324",2021,"emergency","activity","log",104.4236854,6437959,-0.819269506744494
"325",2021,"gp","activity","constant",104.18,275710483,-0.819269506744494
"326",2021,"gp","activity","changing",126.1201438,275710483,-0.819269506744494
"327",2021,"gp","activity","log",101.8793348,275710483,-0.819269506744494
"328",2021,"op","activity","constant",105.55,96420114,-0.819269506744494
"329",2021,"op","activity","changing",117.3719916,96420114,-0.819269506744494
"330",2021,"op","activity","log",108.2956071,96420114,-0.819269506744494
"331",2022,"ae","activity","constant",103.71,24826982,6.73691378752737
"332",2022,"ae","activity","changing",119.0076414,24826982,6.73691378752737
"333",2022,"ae","activity","log",108.1469173,24826982,6.73691378752737
"334",2022,"elective","activity","constant",107.79,20760699,6.73691378752737
"335",2022,"elective","activity","changing",109.094474,20760699,6.73691378752737
"336",2022,"elective","activity","log",107.1793677,20760699,6.73691378752737
"337",2022,"emergency","activity","constant",108.45,6437959,6.73691378752737
"338",2022,"emergency","activity","changing",106.9870297,6437959,6.73691378752737
"339",2022,"emergency","activity","log",106.2393577,6437959,6.73691378752737
"340",2022,"gp","activity","constant",105.69,275710483,6.73691378752737
"341",2022,"gp","activity","changing",136.4006962,275710483,6.73691378752737
"342",2022,"gp","activity","log",102.8117105,275710483,6.73691378752737
"343",2022,"op","activity","constant",107.51,96420114,6.73691378752737
"344",2022,"op","activity","changing",123.9474161,96420114,6.73691378752737
"345",2022,"op","activity","log",111.0901518,96420114,6.73691378752737
"346",2023,"ae","activity","constant",102.86,24826982,6.54439095141102
"347",2023,"ae","activity","changing",122.0354768,24826982,6.54439095141102
"348",2023,"ae","activity","log",108.0216762,24826982,6.54439095141102
"349",2023,"elective","activity","constant",108.98,20760699,6.54439095141102
"350",2023,"elective","activity","changing",110.6747086,20760699,6.54439095141102
"351",2023,"elective","activity","log",108.2089738,20760699,6.54439095141102
"352",2023,"emergency","activity","constant",109.56,6437959,6.54439095141102
"353",2023,"emergency","activity","changing",107.5238963,6437959,6.54439095141102
"354",2023,"emergency","activity","log",106.6258796,6437959,6.54439095141102
"355",2023,"gp","activity","constant",106.22,275710483,6.54439095141102
"356",2023,"gp","activity","changing",146.0927651,275710483,6.54439095141102
"357",2023,"gp","activity","log",102.5542397,275710483,6.54439095141102
"358",2023,"op","activity","constant",108.46,96420114,6.54439095141102
"359",2023,"op","activity","changing",129.5437078,96420114,6.54439095141102
"360",2023,"op","activity","log",112.685918,96420114,6.54439095141102
"361",2024,"ae","activity","constant",104.05,24826982,0.803844991272706
"362",2024,"ae","activity","changing",127.7910652,24826982,0.803844991272706
"363",2024,"ae","activity","log",110.1307793,24826982,0.803844991272706
"364",2024,"elective","activity","constant",110.76,20760699,0.803844991272706
"365",2024,"elective","activity","changing",112.8962537,20760699,0.803844991272706
"366",2024,"elective","activity","log",109.8287792,20760699,0.803844991272706
"367",2024,"emergency","activity","constant",111.36,6437959,0.803844991272706
"368",2024,"emergency","activity","changing",109.321767,6437959,0.803844991272706
"369",2024,"emergency","activity","log",108.2380214,6437959,0.803844991272706
"370",2024,"gp","activity","constant",107.63,275710483,0.803844991272706
"371",2024,"gp","activity","changing",157.8147036,275710483,0.803844991272706
"372",2024,"gp","activity","log",103.4506504,275710483,0.803844991272706
"373",2024,"op","activity","constant",110.33,96420114,0.803844991272706
"374",2024,"op","activity","changing",136.6297192,96420114,0.803844991272706
"375",2024,"op","activity","log",115.2714808,96420114,0.803844991272706
"376",2025,"ae","activity","constant",105.25,24826982,1.34817091043564
"377",2025,"ae","activity","changing",133.7461402,24826982,1.34817091043564
"378",2025,"ae","activity","log",112.1587299,24826982,1.34817091043564
"379",2025,"elective","activity","constant",112.5,20760699,1.34817091043564
"380",2025,"elective","activity","changing",115.0994658,20760699,1.34817091043564
"381",2025,"elective","activity","log",111.3992007,20760699,1.34817091043564
"382",2025,"emergency","activity","constant",113.72,6437959,1.34817091043564
"383",2025,"emergency","activity","changing",111.2546148,6437959,1.34817091043564
"384",2025,"emergency","activity","log",109.9833705,6437959,1.34817091043564
"385",2025,"gp","activity","constant",108.93,275710483,1.34817091043564
"386",2025,"gp","activity","changing",170.2752693,275710483,1.34817091043564
"387",2025,"gp","activity","log",104.296464,275710483,1.34817091043564
"388",2025,"op","activity","constant",112.17,96420114,1.34817091043564
"389",2025,"op","activity","changing",143.9963558,96420114,1.34817091043564
"390",2025,"op","activity","log",117.7548587,96420114,1.34817091043564
"391",2026,"ae","activity","constant",106.37,24826982,1.74352257398045
"392",2026,"ae","activity","changing",139.8845484,24826982,1.74352257398045
"393",2026,"ae","activity","log",114.091884,24826982,1.74352257398045
"394",2026,"elective","activity","constant",114.1,20760699,1.74352257398045
"395",2026,"elective","activity","changing",117.2118654,20760699,1.74352257398045
"396",2026,"elective","activity","log",112.8520407,20760699,1.74352257398045
"397",2026,"emergency","activity","constant",115.87,6437959,1.74352257398045
"398",2026,"emergency","activity","changing",113.0850773,6437959,1.74352257398045
"399",2026,"emergency","activity","log",111.6245482,6437959,1.74352257398045
"400",2026,"gp","activity","constant",110.22,275710483,1.74352257398045
"401",2026,"gp","activity","changing",183.6605873,275710483,1.74352257398045
"402",2026,"gp","activity","log",105.1098237,275710483,1.74352257398045
"403",2026,"op","activity","constant",113.92,96420114,1.74352257398045
"404",2026,"op","activity","changing",151.6389778,96420114,1.74352257398045
"405",2026,"op","activity","log",120.1302888,96420114,1.74352257398045
"406",2027,"ae","activity","constant",107.49,24826982,1.87290800966897
"407",2027,"ae","activity","changing",146.2393648,24826982,1.87290800966897
"408",2027,"ae","activity","log",115.9546344,24826982,1.87290800966897
"409",2027,"elective","activity","constant",115.56,20760699,1.87290800966897
"410",2027,"elective","activity","changing",119.1656016,20760699,1.87290800966897
"411",2027,"elective","activity","log",114.1250041,20760699,1.87290800966897
"412",2027,"emergency","activity","constant",118.45,6437959,1.87290800966897
"413",2027,"emergency","activity","changing",115.0932438,6437959,1.87290800966897
"414",2027,"emergency","activity","log",113.4440964,6437959,1.87290800966897
"415",2027,"gp","activity","constant",111.44,275710483,1.87290800966897
"416",2027,"gp","activity","changing",197.946253,275710483,1.87290800966897
"417",2027,"gp","activity","log",105.8855699,275710483,1.87290800966897
"418",2027,"op","activity","constant",115.59,96420114,1.87290800966897
"419",2027,"op","activity","changing",159.4975627,96420114,1.87290800966897
"420",2027,"op","activity","log",122.3493684,96420114,1.87290800966897
"421",2028,"ae","activity","constant",108.51,24826982,1.9327437807694
"422",2028,"ae","activity","changing",152.741432,24826982,1.9327437807694
"423",2028,"ae","activity","log",117.6933363,24826982,1.9327437807694
"424",2028,"elective","activity","constant",117.02,20760699,1.9327437807694
"425",2028,"elective","activity","changing",121.1117668,20760699,1.9327437807694
